ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2015-01-13,1166.7618087114,1090.2931578401115,1241.0113233315067,1166.7618087114,1166.7618087114,4.716146745187844e-05,4.716146745187844e-05,4.716146745187844e-05,-0.0007590072984515381,-0.0007590072984515381,-0.0007590072984515381,-0.0008061687659034161,-0.0008061687659034161,-0.0008061687659034161,0.0,0.0,0.0,1165.8762279830335
2015-01-14,1166.78237275618,1089.628634902287,1246.6645392333553,1166.78237275618,1166.78237275618,0.0005414603111778627,0.0005414603111778627,0.0005414603111778627,0.000691573352567884,0.000691573352567884,0.000691573352567884,0.00015011304139002216,0.00015011304139002216,0.00015011304139002216,0.0,0.0,0.0,1167.589288353424
2015-01-15,1166.80293680096,1097.8910280674174,1248.1941242110122,1166.80293680096,1166.80293680096,0.000616674420570926,0.000616674420570926,0.000616674420570926,0.0016259167397413557,0.0016259167397413557,0.0016259167397413557,0.0010092423191704293,0.0010092423191704293,0.0010092423191704293,0.0,0.0,0.0,1168.7000612278841
2015-01-16,1166.82350084574,1092.1718722321923,1238.9403142473113,1166.82350084574,1166.82350084574,0.00017248088402781512,0.00017248088402781512,0.00017248088402781512,0.0019368270112934646,0.0019368270112934646,0.0019368270112934646,0.0017643461272656492,0.0017643461272656492,0.0017643461272656492,0.0,0.0,0.0,1169.08343611959
2015-01-19,1166.88519298008,1098.1346993399427,1245.0191873918918,1166.88519298008,1166.88519298008,-0.0004318177223410432,-0.0004318177223410432,-0.0004318177223410432,0.0029274230618271044,0.0029274230618271044,0.0029274230618271044,0.003359240784168151,0.003359240784168151,0.003359240784168151,0.0,0.0,0.0,1170.3011596045144
2015-01-20,1166.90575702486,1095.6674383241882,1245.4738199881117,1166.90575702486,1166.90575702486,-0.00022783587736578367,-0.00022783587736578367,-0.00022783587736578367,0.0034321765545227445,0.0034321765545227445,0.0034321765545227445,0.003660012431888528,0.003660012431888528,0.003660012431888528,0.0,0.0,0.0,1170.9107836054582
2015-01-21,1166.92632106964,1097.7264582362907,1249.4237755879308,1166.92632106964,1166.92632106964,-0.0003639624929313017,-0.0003639624929313017,-0.0003639624929313017,0.003481858978139126,0.003481858978139126,0.003481858978139126,0.0038458214710704267,0.0038458214710704267,0.0038458214710704267,0.0,0.0,0.0,1170.9893939574831
2015-01-22,1166.94688511442,1093.8581826176685,1240.5588051313687,1166.94688511442,1166.94688511442,-0.0007733625900415723,-0.0007733625900415723,-0.0007733625900415723,0.0031460884633156515,0.0031460884633156515,0.0031460884633156515,0.003919451053357224,0.003919451053357224,0.003919451053357224,0.0,0.0,0.0,1170.6182032469806
2015-01-23,1166.9674491592,1092.0058638637781,1241.0738509330333,1166.9674491592,1166.9674491592,-0.0010046691120817514,-0.0010046691120817514,-0.0010046691120817514,0.0028806331639655196,0.0028806331639655196,0.0028806331639655196,0.00388530227604727,0.00388530227604727,0.00388530227604727,0.0,0.0,0.0,1170.3290542945163
2015-01-26,1167.0291412935399,1092.5691822275796,1248.4607448470017,1167.0291412935399,1167.0291412935399,0.0003013111765084995,0.0003013111765084995,0.0003013111765084995,0.0035040187384923465,0.0035040187384923465,0.0035040187384923465,0.0032027075619838474,0.0032027075619838474,0.0032027075619838474,0.0,0.0,0.0,1171.118433272999
