ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-01-01,1584.3000377499998,1485.0630345176928,1620.192769836728,1584.3000377499998,1584.3000377499998,-0.0025658556769167394,-0.0025658556769167394,-0.0025658556769167394,-0.022399953727758416,-0.022399953727758416,-0.022399953727758416,-0.01983409805084168,-0.01983409805084168,-0.01983409805084168,0.0,0.0,0.0,1548.8117902135139
2020-01-02,1584.470357970987,1484.8317250843575,1616.7169659420983,1584.470357970987,1584.470357970987,-0.0028463191068568675,-0.0028463191068568675,-0.0028463191068568675,-0.022587550099186733,-0.022587550099186733,-0.022587550099186733,-0.019741230992329866,-0.019741230992329866,-0.019741230992329866,0.0,0.0,0.0,1548.681054379641
2020-01-03,1584.640678191974,1482.7036724596237,1618.5343991311915,1584.640678191974,1584.640678191974,-0.0018461553740100767,-0.0018461553740100767,-0.0018461553740100767,-0.021567538888236613,-0.021567538888236613,-0.021567538888236613,-0.019721383514226535,-0.019721383514226535,-0.019721383514226535,0.0,0.0,0.0,1550.463878741187
2020-01-06,1585.1516388549358,1484.179283178486,1625.139032907468,1585.1516388549358,1585.1516388549358,0.000756657658837775,0.000756657658837775,0.000756657658837775,-0.01928228570042027,-0.01928228570042027,-0.01928228570042027,-0.020038943359258047,-0.020038943359258047,-0.020038943359258047,0.0,0.0,0.0,1554.5862920760455
2020-01-07,1585.321959075923,1484.632433210532,1621.0611502506515,1585.321959075923,1585.321959075923,0.00033739788483256553,0.00033739788483256553,0.00033739788483256553,-0.019901814732575757,-0.019901814732575757,-0.019901814732575757,-0.020239212617408322,-0.020239212617408322,-0.020239212617408322,0.0,0.0,0.0,1553.7711751549098
2020-01-08,1585.49227929691,1487.8322015351825,1619.4036034559717,1585.49227929691,1585.49227929691,0.0004229590417018697,0.0004229590417018697,0.0004229590417018697,-0.020043788429079435,-0.020043788429079435,-0.020043788429079435,-0.020466747470781307,-0.020466747470781307,-0.020466747470781307,0.0,0.0,0.0,1553.713007494744
2020-01-09,1585.6625995178972,1488.4708281997305,1627.3901754333413,1585.6625995178972,1585.6625995178972,0.0014379160475494301,0.0014379160475494301,0.0014379160475494301,-0.019269937911756525,-0.019269937911756525,-0.019269937911756525,-0.020707853959305956,-0.020707853959305956,-0.020707853959305956,0.0,0.0,0.0,1555.1069796761929
2020-01-10,1585.8329197388844,1487.7723857923777,1624.131201861757,1585.8329197388844,1585.8329197388844,0.0028281248076773833,0.0028281248076773833,0.0028281248076773833,-0.01812019584701496,-0.01812019584701496,-0.01812019584701496,-0.020948320654692345,-0.020948320654692345,-0.020948320654692345,0.0,0.0,0.0,1557.0973166525723
2020-01-13,1586.3438804018458,1487.5005443387056,1622.7900859453252,1586.3438804018458,1586.3438804018458,0.0019382233239032948,0.0019382233239032948,0.0019382233239032948,-0.019587772705525808,-0.019587772705525808,-0.019587772705525808,-0.021525996029429097,-0.021525996029429097,-0.021525996029429097,0.0,0.0,0.0,1555.2709370397326
2020-01-14,1586.5142006228332,1485.2288836395976,1623.6429779155874,1586.5142006228332,1586.5142006228332,0.0012118013936247133,0.0012118013936247133,0.0012118013936247133,-0.020416195007440387,-0.020416195007440387,-0.020416195007440387,-0.0216279964010651,-0.0216279964010651,-0.0216279964010651,0.0,0.0,0.0,1554.123617320844
2020-01-15,1586.68452084382,1492.4264636234313,1620.110390285223,1586.68452084382,1586.68452084382,0.0016592565931543306,0.0016592565931543306,0.0016592565931543306,-0.02000761015892466,-0.02000761015892466,-0.02000761015892466,-0.021666866752078993,-0.021666866752078993,-0.021666866752078993,0.0,0.0,0.0,1554.9387555055769
2020-01-16,1586.8548410648073,1492.091671129066,1623.6483815807783,1586.8548410648073,1586.8548410648073,0.0029679900863600244,0.0029679900863600244,0.0029679900863600244,-0.018666753953032172,-0.018666753953032172,-0.018666753953032172,-0.021634744039392192,-0.021634744039392192,-0.021634744039392192,0.0,0.0,0.0,1557.2334121874726
2020-01-17,1587.0251612857944,1499.3015413993726,1631.2380924246277,1587.0251612857944,1587.0251612857944,0.004018311187028752,0.004018311187028752,0.004018311187028752,-0.017507748874522795,-0.017507748874522795,-0.017507748874522795,-0.021526060061551548,-0.021526060061551548,-0.021526060061551548,0.0,0.0,0.0,1559.2399233044537
2020-01-20,1587.5361219487559,1491.4887972659733,1620.6425993898406,1587.5361219487559,1587.5361219487559,3.51755657651341e-05,3.51755657651341e-05,3.51755657651341e-05,-0.020687582206169685,-0.020687582206169685,-0.020687582206169685,-0.020722757771934823,-0.020722757771934823,-0.020722757771934823,0.0,0.0,0.0,1554.693837920677
2020-01-21,1587.706442169743,1482.8784707914099,1619.0144720336493,1587.706442169743,1587.706442169743,-0.0018742003529581175,-0.0018742003529581175,-0.0018742003529581175,-0.02217711268023415,-0.02217711268023415,-0.02217711268023415,-0.020302912327276035,-0.020302912327276035,-0.020302912327276035,0.0,0.0,0.0,1552.495697498611
2020-01-22,1587.8767623907304,1485.0699039230753,1619.2732410334722,1587.8767623907304,1587.8767623907304,-0.003087785338429421,-0.003087785338429421,-0.003087785338429421,-0.02290459549239546,-0.02290459549239546,-0.02290459549239546,-0.019816810153966042,-0.019816810153966042,-0.019816810153966042,0.0,0.0,0.0,1551.5070874563962
2020-01-23,1588.0470826117175,1489.1058418449234,1617.3536372907458,1588.0470826117175,1588.0470826117175,-0.0037510920452362554,-0.0037510920452362554,-0.0037510920452362554,-0.023024833161004205,-0.023024833161004205,-0.023024833161004205,-0.019273741115767948,-0.019273741115767948,-0.019273741115767948,0.0,0.0,0.0,1551.4825634827632
2020-01-24,1588.2174028327047,1485.978224201343,1618.672042119828,1588.2174028327047,1588.2174028327047,-0.004087373774654151,-0.004087373774654151,-0.004087373774654151,-0.022772279824981072,-0.022772279824981072,-0.022772279824981072,-0.01868490605032692,-0.01868490605032692,-0.01868490605032692,0.0,0.0,0.0,1552.0500717124937
2020-01-27,1588.7283634956661,1493.8209955579698,1629.8928628760118,1588.7283634956661,1588.7283634956661,-0.0017852776887603281,-0.0017852776887603281,-0.0017852776887603281,-0.018562093704658778,-0.018562093704658778,-0.018562093704658778,-0.01677681601589845,-0.01677681601589845,-0.01677681601589845,0.0,0.0,0.0,1559.2382387412104
2020-01-28,1588.898683716653,1500.0749137137818,1632.0283562147133,1588.898683716653,1588.898683716653,-0.0003752288011100797,-0.0003752288011100797,-0.0003752288011100797,-0.016517202764279867,-0.016517202764279867,-0.016517202764279867,-0.016141973963169784,-0.016141973963169784,-0.016141973963169784,0.0,0.0,0.0,1562.6545219858078
2020-01-29,1589.0690039376402,1497.9212636743193,1631.0565151156122,1589.0690039376402,1589.0690039376402,0.00013293923532929608,0.00013293923532929608,0.00013293923532929608,-0.01539940220344316,-0.01539940220344316,-0.01539940220344316,-0.015532341438772456,-0.015532341438772456,-0.015532341438772456,0.0,0.0,0.0,1564.5982912169798
2020-01-30,1589.2393241586276,1491.916837693347,1629.685710718765,1589.2393241586276,1589.2393241586276,-0.000608067488372749,-0.000608067488372749,-0.000608067488372749,-0.015570028863746317,-0.015570028863746317,-0.015570028863746317,-0.014961961375373565,-0.014961961375373565,-0.014961961375373565,0.0,0.0,0.0,1564.494822010077
2020-01-31,1589.4096443796147,1493.6344001166658,1628.931067089186,1589.4096443796147,1589.4096443796147,-0.0019945572533930866,-0.0019945572533930866,-0.0019945572533930866,-0.016438316233624954,-0.016438316233624954,-0.016438316233624954,-0.01444375898023187,-0.01444375898023187,-0.01444375898023187,0.0,0.0,0.0,1563.2824260205293
2020-02-03,1589.9206050425762,1499.07944431447,1633.7349608112115,1589.9206050425762,1589.9206050425762,-0.0010689812677009943,-0.0010689812677009943,-0.0010689812677009943,-0.014375331851972536,-0.014375331851972536,-0.014375331851972536,-0.013306350584271546,-0.013306350584271546,-0.013306350584271546,0.0,0.0,0.0,1567.0649687268003
2020-02-04,1590.0909252635633,1508.3085360898174,1642.1389832713835,1590.0909252635633,1590.0909252635633,0.0003305856536492932,0.0003305856536492932,0.0003305856536492932,-0.012759736527385579,-0.012759736527385579,-0.012759736527385579,-0.01309032218103487,-0.01309032218103487,-0.01309032218103487,0.0,0.0,0.0,1569.8017840026134
2020-02-05,1590.2612454845505,1506.2652437489508,1641.2994661496439,1590.2612454845505,1590.2612454845505,0.0008501613404712022,0.0008501613404712022,0.0008501613404712022,-0.012111528536727149,-0.012111528536727149,-0.012111528536727149,-0.012961689877198349,-0.012961689877198349,-0.012961689877198349,0.0,0.0,0.0,1571.0007510290131
2020-02-06,1590.4315657055377,1504.649616308215,1637.09889912749,1590.4315657055377,1590.4315657055377,0.0005422007111281488,0.0005422007111281488,0.0005422007111281488,-0.012377754750745316,-0.012377754750745316,-0.012377754750745316,-0.012919955461873465,-0.012919955461873465,-0.012919955461873465,0.0,0.0,0.0,1570.7455938373905
2020-02-07,1590.6018859265248,1504.1517006975412,1638.7352713428872,1590.6018859265248,1590.6018859265248,0.0002683231538970416,0.0002683231538970416,0.0002683231538970416,-0.012693581992272471,-0.012693581992272471,-0.012693581992272471,-0.012961905146169513,-0.012961905146169513,-0.012961905146169513,0.0,0.0,0.0,1570.4114504704532
2020-02-10,1591.1128465894865,1504.08163693733,1644.3206227597204,1591.1128465894865,1591.1128465894865,0.0033317749037666267,0.0033317749037666267,0.0033317749037666267,-0.010187399217694926,-0.010187399217694926,-0.010187399217694926,-0.013519174121461556,-0.013519174121461556,-0.013519174121461556,0.0,0.0,0.0,1574.9035448208763
2020-02-11,1591.2831668104734,1507.7056305895906,1640.800824177747,1591.2831668104734,1591.2831668104734,0.003469199267492814,0.003469199267492814,0.003469199267492814,-0.01034458399119121,-0.01034458399119121,-0.01034458399119121,-0.013813783258684025,-0.013813783258684025,-0.013813783258684025,0.0,0.0,0.0,1574.8220044376337
2020-02-12,1591.4534870314606,1507.6587219234827,1635.2285096163769,1591.4534870314606,1591.4534870314606,0.0025366460676440397,0.0025366460676440397,0.0025366460676440397,-0.011604053158853916,-0.011604053158853916,-0.011604053158853916,-0.014140699226497955,-0.014140699226497955,-0.014140699226497955,0.0,0.0,0.0,1572.986176168104
2020-02-13,1591.6238072524477,1505.14171803899,1635.6770273729637,1591.6238072524477,1591.6238072524477,0.0014540806809293452,0.0014540806809293452,0.0014540806809293452,-0.013030578308152194,-0.013030578308152194,-0.013030578308152194,-0.014484658989081542,-0.014484658989081542,-0.014484658989081542,0.0,0.0,0.0,1570.8840285949252
2020-02-14,1591.7941274734349,1505.1937466743916,1639.296039688808,1591.7941274734349,1591.7941274734349,0.0012816108525722206,0.0012816108525722206,0.0012816108525722206,-0.013548071488473078,-0.013548071488473078,-0.013548071488473078,-0.014829682341045302,-0.014829682341045302,-0.014829682341045302,0.0,0.0,0.0,1570.2283868394932
2020-02-17,1592.3050881363965,1505.548870040158,1637.5265848374258,1592.3050881363965,1592.3050881363965,0.00410364415886065,0.00410364415886065,0.00410364415886065,-0.011606867406897432,-0.011606867406897432,-0.011606867406897432,-0.015710511565758083,-0.015710511565758083,-0.015710511565758083,0.0,0.0,0.0,1573.8234141070693
2020-02-18,1592.4754083573837,1503.0365510465522,1636.4877062942737,1592.4754083573837,1592.4754083573837,0.0031601182657113557,0.0031601182657113557,0.0031601182657113557,-0.012742084768424335,-0.012742084768424335,-0.012742084768424335,-0.01590220303413569,-0.01590220303413569,-0.01590220303413569,0.0,0.0,0.0,1572.1839517124629
2020-02-19,1592.6457285783708,1500.3812907632298,1638.0709177754627,1592.6457285783708,1592.6457285783708,0.0011488298269943763,0.0011488298269943763,0.0011488298269943763,-0.014871937395233032,-0.014871937395233032,-0.014871937395233032,-0.01602076722222741,-0.01602076722222741,-0.01602076722222741,0.0,0.0,0.0,1568.9600010101678
2020-02-20,1592.816048799358,1504.173780590058,1631.0844892772855,1592.816048799358,1592.816048799358,-0.0009970020252645744,-0.0009970020252645744,-0.0009970020252645744,-0.01705259240535025,-0.01705259240535025,-0.01705259240535025,-0.016055590380085676,-0.016055590380085676,-0.016055590380085676,0.0,0.0,0.0,1565.654405942482
2020-02-21,1592.9863690203451,1499.1493924043614,1635.9135382209495,1592.9863690203451,1592.9863690203451,-0.0025676015031540433,-0.0025676015031540433,-0.0025676015031540433,-0.01856591070195585,-0.01856591070195585,-0.01856591070195585,-0.015998309198801804,-0.015998309198801804,-0.015998309198801804,0.0,0.0,0.0,1563.4111263436805
2020-02-24,1593.4973296833068,1498.5428321622855,1630.287461888892,1593.4973296833068,1593.4973296833068,-0.004115246797674952,-0.004115246797674952,-0.004115246797674952,-0.019343688756555105,-0.019343688756555105,-0.019343688756555105,-0.015228441958880148,-0.015228441958880148,-0.015228441958880148,0.0,0.0,0.0,1562.6732133035111
2020-02-25,1593.6676499042937,1500.2006794772803,1629.847995637687,1593.6676499042937,1593.6676499042937,-0.003704460858477394,-0.003704460858477394,-0.003704460858477394,-0.018475300194394487,-0.018475300194394487,-0.018475300194394487,-0.014770839335917094,-0.014770839335917094,-0.014770839335917094,0.0,0.0,0.0,1564.2241616622168
2020-02-26,1593.837970125281,1501.5717955316265,1633.456000164007,1593.837970125281,1593.837970125281,-0.0025514093185601784,-0.0025514093185601784,-0.0025514093185601784,-0.016770064559447642,-0.016770064559447642,-0.016770064559447642,-0.014218655240887463,-0.014218655240887463,-0.014218655240887463,0.0,0.0,0.0,1567.109204468981
